"doy","instrument","replicate","species","plot","leaf","spad","J_at_25","Rd_at_25","Vcmax_at_25","Tp","J_tl_avg","Rd_tl_avg","Vcmax_tl_avg","operating_Ci","operating_An","operating_An_model","convergence","convergence_msg","feval","RSS","MSE","RMSE","RSE"
"NA","UserDefCon","UserDefCon","UserDefCon","UserDefCon","UserDefCon","UserDefCon","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","estimate_operating_point","estimate_operating_point","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","residual_stats","residual_stats","residual_stats","residual_stats"
"NA",NA,NA,NA,NA,NA,NA,"micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)"
"194","mcgrath1","1","ld11","6","4","40.5","183.362674968916","0.344218503125882","133.343149836","15.171643778986","223.175627046556","0.417185313537269","172.556075457128","276.897885436245","30.9661993753584","32.0442807490838","0","Successful convergence","358","1.97163723056584","0.140831230754703","0.375274873598943","0.444031218560795"
"194","mcgrath1","2","ld11","3","3","45.9","210.463928654285","0.0430249745497935","145.061356509299","17.4442749272427","256.109176730813","0.0521339849992049","187.661733733996","270.1706242224","33.3557746311105","34.386265894524","0","Successful convergence","345","2.96623024749252","0.211873589106608","0.460297283401291","0.54463109050921"
"194","mcgrath1","3","ld11","4","4","38.7","150.586554735797","0.548249449938426","119.170692914276",NA,"183.044979227341","0.663546129899748","153.914516429767","274.224532275686","26.0584438434558","26.7848497499699","0","Successful convergence","323","1.27544266709916","0.127544266709916","0.357133401840148","0.461057239233764"
"194","mcgrath1","4","ld11","5","3","46.5","182.378773716757","0.0671419638230419","138.122409661122",NA,"221.952412430774","0.0813645069787864","178.708626980193","279.534487595286","32.1003752032698","33.4693323420303","0","Successful convergence","275","2.53229906531116","0.180878504665083","0.425298136211626","0.50321954108631"
"194","mcgrath2","1","ld10","6","3","45.2","201.333923079486","6.44678754824213e-09","147.728752925354","15.1653028750223","244.946141418506","7.8098673855808e-09","191.050727540402","287.113315053929","34.8390566219044","37.2435357351384","0","Successful convergence","448","6.35968125222687","0.454262946587634","0.673990316390105","0.797476096960083"
"194","mcgrath2","2","ld10","3","4","37.3","162.407432995511","4.7056880614349e-08","120.639911451188","12.5087914065933","197.925894973284","5.71104939861057e-08","156.419582556362","277.804113488304","27.8304173935939","29.4405070475032","0","Successful convergence","409","5.38835089700903","0.384882206929216","0.620388754676627","0.734053873840948"
"194","mcgrath2","3","ld10","4","3","46.2","207.583138430547","7.30495663958663e-09","129.850567840792","17.5111638619945","252.7602973018","8.85737711021097e-09","168.14042334546","285.520463275003","32.2966035199158","32.5869059477878","0","Successful convergence","440","2.87923827929503","0.205659877092502","0.45349738377691","0.536585340770229"
"194","mcgrath2","4","ld10","5","4","38.3","184.715872929234","1.59929403054093e-08","134.798279108864","14.8414764587621","225.037891409194","1.94028753795257e-08","174.688988037786","286.617113015139","31.5765042740939","33.9538628819227","0","Successful convergence","434","2.61995818626136","0.18713987044724","0.432596660235883","0.511855271171584"
