"A","Ci","Tleaf","Qin","curve_identifier"
-3.93879477208848,34.9435750091548,30.3733,2000.05,"ripe1 - 5"
-1.0557459996709,52.764389923922,30.2142,2000.01,"ripe1 - 5"
1.41669089311119,66.8175270723181,30.1703,1999.93,"ripe1 - 5"
3.75146628634591,80.4426669506357,30.1747,2000.09,"ripe1 - 5"
7.86828229175518,106.014482337464,30.1532,1999.81,"ripe1 - 5"
11.7890517108716,131.189209176231,30.2461,2000.01,"ripe1 - 5"
19.5351783366826,184.242674729513,30.3883,2000.11,"ripe1 - 5"
25.9204545144668,229.914894980593,30.2959,1999.94,"ripe1 - 5"
39.1700952567556,390.464775271912,30.5911,2000.12,"ripe1 - 5"
38.398056301353,397.438009821287,30.7089,2000.03,"ripe1 - 5"
38.5246135617446,469.591801125852,30.7626,2000.24,"ripe1 - 5"
42.7580607604748,581.839727262374,31.0025,1999.84,"ripe1 - 5"
45.9595487120505,837.690835852288,31.3001,2000.01,"ripe1 - 5"
45.3117102331352,1175.99582330327,31.4302,2000.09,"ripe1 - 5"
-3.69605708040552,33.8170998650602,29.8997,1999.88,"ripe2 - 1"
-0.909259656106564,52.427466864668,29.7304,2000.04,"ripe2 - 1"
1.45419087630204,66.5797317156486,29.8146,1999.81,"ripe2 - 1"
3.48037553572851,81.2489382473291,29.8847,2000.09,"ripe2 - 1"
7.6211526523666,109.411599829125,30.32,2000.04,"ripe2 - 1"
10.9372564763784,134.77314606824,30.5945,2000.15,"ripe2 - 1"
17.0792664143175,182.550490358024,30.4981,2000.12,"ripe2 - 1"
24.3492874603018,236.363014605644,30.3075,2000.11,"ripe2 - 1"
37.5211948705567,391.653077779331,29.8057,2000,"ripe2 - 1"
37.5835945479128,446.258587382414,30.111,1999.98,"ripe2 - 1"
37.2043851272775,506.572067744772,30.1421,1999.97,"ripe2 - 1"
41.6098150139271,633.910770884511,30.3249,1999.91,"ripe2 - 1"
43.0337181893015,844.494256622748,30.4025,2000.12,"ripe2 - 1"
43.1056792568178,1178.02124949821,30.5385,2000,"ripe2 - 1"
-3.29243746952011,35.9653536067641,30.3929,2000.19,"ripe2 - 5"
-0.929812214586427,53.617954955694,30.2381,1999.9,"ripe2 - 5"
1.05179452081227,67.0806005080666,30.3019,2000.08,"ripe2 - 5"
2.90974154211545,80.9700955681713,30.5037,1999.98,"ripe2 - 5"
6.8371219849518,108.796130429101,30.8433,2000.04,"ripe2 - 5"
10.0990855641053,134.938064258226,31.312,1999.96,"ripe2 - 5"
16.243876274018,186.627087534405,31.2679,2000.19,"ripe2 - 5"
22.3188790477972,235.364099591433,31.1971,1999.85,"ripe2 - 5"
36.7704600922175,406.628956364207,30.886,2000.09,"ripe2 - 5"
41.0301266262171,534.645723209551,30.8993,1999.96,"ripe2 - 5"
40.5744264220846,610.235184170063,30.8406,1999.96,"ripe2 - 5"
39.4729384527805,685.22462670017,30.7854,2000.06,"ripe2 - 5"
42.4888572818797,905.63792032851,31.0576,1999.71,"ripe2 - 5"
42.5270398450098,1196.35136829193,31.3272,1999.87,"ripe2 - 5"
-2.94098606505308,39.3607336434158,29.7147,1999.96,"ripe3 - 4"
-1.05748443379394,55.1187891590702,29.5016,2000.02,"ripe3 - 4"
0.39075019190579,67.3260426365947,29.5529,2000,"ripe3 - 4"
1.72613805482793,79.4943610043802,29.5572,1999.85,"ripe3 - 4"
4.39171080721282,103.106774478168,29.9204,2000.06,"ripe3 - 4"
6.53195475292601,122.867638293251,30.397,2000.01,"ripe3 - 4"
10.4462873826516,159.887751568899,30.241,1999.87,"ripe3 - 4"
14.9328053737224,197.310630922856,30.1988,1999.95,"ripe3 - 4"
20.5792149856236,274.81142488048,30.1847,2000.23,"ripe3 - 4"
24.4050805480732,340.882497522149,30.1588,1999.94,"ripe3 - 4"
27.2572858798678,416.862407630876,30.0196,2000.04,"ripe3 - 4"
30.2867016744125,491.977365411964,30.2518,2000.1,"ripe3 - 4"
34.76814646412,658.150133810582,30.243,2000.08,"ripe3 - 4"
36.8060668664608,841.397030299701,30.2136,2000.04,"ripe3 - 4"
-3.61046467726898,32.7993634685213,30.4327,2000.03,"ripe4 - 4"
-0.880675982292607,51.9175712103284,30.4107,2000.01,"ripe4 - 4"
1.4020257482695,67.4017299223263,30.3341,1999.87,"ripe4 - 4"
3.59474227647521,82.8172025103295,30.2204,2000.04,"ripe4 - 4"
7.88175099145036,111.51766316745,30.1092,1999.97,"ripe4 - 4"
11.2998507101317,140.369893007509,29.8892,2000.04,"ripe4 - 4"
18.9975558607616,200.245051767112,30.107,2000.17,"ripe4 - 4"
25.2834922344198,251.881952213216,30.0322,2000.1,"ripe4 - 4"
36.5517550151699,399.031934927914,30.3694,1999.98,"ripe4 - 4"
40.2103938049118,505.845524415313,30.3895,1999.85,"ripe4 - 4"
42.3207401434024,637.258801399901,30.7413,2000.09,"ripe4 - 4"
43.0945140040461,794.741358271415,30.9401,1999.89,"ripe4 - 4"
42.1715317308824,1093.03856819114,31.2483,2000.04,"ripe4 - 4"
41.2072380062491,1381.05236297156,31.4378,1999.78,"ripe4 - 4"
