"year","cultivar","electrons_per_carboxylation","electrons_per_oxygenation","Vcmax","J","Rd","TPU","Jmax"
2022,"ld10",4.5,5.25,167.605896229773,224.032835405857,1.28,16.416604594285,229.656113784816
2022,"ld11",4.5,5.25,118.794808418074,179.691195599072,1.28,14.1939594902187,182.623303091832
